10000 10000
284 8610 9556
2951 4047 8018
4003 7537 6109
7772 9652 610
9345 9362 133
3539 4296 1474
3221 4022 3008
190 3295 6130
5800 5912 9120
2615 2616 169
2583 5954 99
5030 8236 2575
5775 9267 5320
9418 9518 9818
9658 9880 480
4358 6097 6471
2309 8354 254
6379 8358 3188
9889 9917 8013
8454 9664 773
6185 8289 5256
3405 5225 1097
7402 8499 5539
9209 9747 849
600 7930 2277
1057 4582 780
9892 9942 2908
4759 5570 1386
4231 7282 7910
9456 9802 9110
5309 5664 7152
7640 7769 4483
8309 8892 5881
1850 4252 4002
5467 9381 8575
8953 9014 448
8014 8626 2775
2761 9808 8395
7687 9005 530
4160 8147 500
6780 7863 4531
4272 8732 2983
3903 7303 7960
1982 2373 9337
4829 6000 7843
4086 9389 718
432 633 6101
2211 7771 3500
1744 8784 9958
5353 9825 3974
9070 9646 7176
4884 7809 4753
6961 8090 6833
3705 9276 88
6630 9963 4154
5108 6357 6533
716 1968 4562
8116 8915 2275
1811 3161 3928
4381 5690 9048
4919 7256 8306
1880 2189 4978
7806 8906 5295
3087 8464 6520
6774 9575 3181
5264 8082 8739
2644 3491 6451
8540 9192 9949
5796 9201 7442
2743 5975 6839
8416 8558 8968
7642 9836 566
5776 9803 8259
7828 8238 4486
7951 8768 2604
5931 7396 6709
6692 8236 7054
3471 7693 4971
6830 7556 6004
6639 9595 3948
8017 9816 326
9355 9988 3475
3126 9841 3545
7795 7949 5065
9072 9493 2428
6157 6322 5578
5618 5719 8291
881 5321 8421
2115 5955 2451
3755 5842 2797
5759 9681 2950
267 5191 6753
8985 9750 539
7854 9814 8575
5009 8002 3424
6630 9356 6784
6513 6604 8726
2595 8534 4644
7164 8944 1087
3621 6216 6089
697 2853 8407
3285 8326 7155
38 4095 6948
9466 9536 3862
7776 8769 4173
8066 8993 8690
5639 6619 1263
3148 8646 2856
6679 9980 5935
8431 8767 8156
724 2536 3302
5098 5948 4465
2473 7127 2230
6834 8932 6264
7149 8078 2130
1693 8672 7578
371 3951 8668
6053 9632 3025
9991 9997 1944
8431 8526 2920
9892 9999 4803
2503 8189 5298
8822 9082 3603
5693 7731 9165
5006 9973 8549
3945 4788 7931
3949 4339 7240
2036 3008 3968
594 978 2602
9553 9824 4225
613 6360 3968
7199 9014 3384
8851 9543 3746
9362 9416 9865
5995 8020 8710
8472 9550 8183
2861 4916 2555
7960 9286 1702
8971 9831 6030
6529 6930 8740
2203 9600 7299
2060 8429 4608
5711 7046 8416
31 3851 7979
8208 8758 8465
9819 9940 8248
7739 9470 6389
4103 6424 6835
1466 7756 5538
9887 9962 791
8355 8938 6603
5526 9274 2706
1140 1185 671
3556 7031 2712
2259 2785 5437
4235 9493 4640
9966 9986 6166
6552 9684 991
3401 6011 1361
6550 7020 7881
4862 4947 6477
5789 9317 3732
9370 9840 1667
6712 8107 4895
614 5656 8771
6373 8006 6934
7829 8659 8543
6208 8142 7732
6029 8211 1597
3246 9287 4603
5234 9746 3789
4999 8053 5602
2627 8431 4725
5810 7252 9562
2567 7390 9912
5201 8861 5665
1412 5055 8815
1289 9020 3574
1623 5468 9733
5841 8147 5510
5742 6343 4780
1669 3193 3697
7710 7746 9042
1539 6133 7022
4938 6329 4838
8495 8624 5435
5556 9050 863
7702 9920 8723
8373 9145 8019
9297 9690 7317
4565 8790 9014
3072 5441 5621
6138 9077 9
428 3391 2956
3987 9118 2339
6328 9800 4602
8356 9209 4196
7232 9104 6227
3605 6726 4468
632 4133 7592
8250 9682 5943
6547 9720 1559
5815 7450 2895
4844 5596 2818
5173 8421 1172
6780 9231 8923
325 2143 8987
6844 8536 1081
6405 8280 9262
3763 5652 2086
9464 9781 9865
6576 8934 8998
8512 9019 9440
5405 7749 2936
3680 4670 2675
8886 9094 4742
1740 3295 3666
8902 9988 2776
9444 9984 3641
5462 7200 2685
2754 7593 3738
718 1578 253
3739 7372 460
2503 9315 7930
6354 9569 9957
3025 6742 2352
61 4872 9354
5282 6015 6903
6862 8014 7305
2010 3347 8979
3606 6897 4902
8660 9646 9540
9518 9526 7170
5197 5705 396
116 9970 9169
1422 3448 9044
7985 8157 9010
5337 6904 484
2604 3843 6829
1504 3729 291
2871 3750 5057
1719 9168 2915
3067 9032 1394
1959 7868 9429
2184 8371 1886
3198 9696 7197
6621 9467 1016
6282 7569 8311
4278 4446 4043
4386 8060 4738
4007 7981 2546
934 7001 4499
9082 9547 1207
868 1419 8237
1182 5112 9144
2057 9238 8202
4417 7222 6144
5246 5270 4908
8053 8393 370
1994 8816 6187
6880 7089 9211
4311 5962 8939
1793 8212 6566
3522 9783 5210
1169 2596 2345
1748 6879 9411
5979 6236 2044
3064 8279 2216
2085 3728 3547
7169 9197 7631
8360 9174 4709
5717 5822 6567
2909 6414 9969
1542 3325 5940
3709 9980 4070
4331 6991 9167
2772 5684 102
5589 8459 6177
6909 8588 9650
8655 9742 3003
364 6688 7996
5511 7236 5088
7724 9862 9599
8851 10000 5784
2074 9981 5831
8924 9189 9078
3221 5213 9814
8004 9304 1529
2677 8643 5069
4132 8925 8168
44 4725 1635
8120 8718 5317
5080 7856 8729
297 8463 6687
6184 8924 2221
1618 6827 2581
3170 4075 4271
1018 6933 2212
5087 6589 1100
3445 7527 4419
3701 9363 2947
2179 3992 1287
8081 9656 9553
8926 9588 273
1265 7315 5577
1734 4271 7542
9074 9928 1825
9388 9509 3915
9783 9948 3018
8335 8796 3135
5700 9679 5563
525 2415 4732
3279 4326 5492
8970 9435 4550
9693 9883 4509
8475 9817 4913
9946 9947 2948
1120 5190 9742
9708 9751 6746
8843 9504 2152
7483 9661 2156
9679 9907 2873
7949 8311 8019
2375 9365 3796
9833 9931 7544
5171 7002 4624
3160 8256 6477
1838 2847 2904
9718 9790 9833
6536 7740 1557
4992 7753 3018
2691 9245 7145
2493 9157 8263
4813 8340 1115
942 9358 5885
3789 8992 4240
3226 7274 5019
6014 6309 2748
4368 5716 1049
4161 4303 3965
8916 8944 7786
4231 9349 3026
4614 9534 5993
4183 7885 7039
7846 8677 4701
6346 8097 6898
4103 6913 9935
944 4420 6120
1367 5012 8149
5217 6489 7425
4540 9427 704
8763 9090 1712
4113 9691 4489
7479 9483 5160
568 6307 7494
6553 7104 2140
8640 9605 4714
3518 7510 7863
7119 9332 535
2564 4593 7713
6558 6660 9316
3464 7046 8546
4005 6241 6200
5936 6187 8032
2834 5423 3990
4076 9030 9427
3789 5448 8616
7447 9786 7285
5554 9505 6661
418 9563 8181
4134 5430 2187
5398 8411 6191
5988 6724 8221
7146 9294 1418
8364 8628 6773
2051 2938 302
5652 9897 6376
3766 7581 6006
3765 9600 5058
4710 8003 5847
2900 7266 2682
6093 8550 3318
9321 9558 8275
2871 4073 7967
689 8918 2049
9034 9688 5095
2501 7761 6345
792 2324 7252
7653 9553 4612
3761 5138 1318
5523 9791 8815
2360 5817 3317
3974 7491 9428
3254 7043 2580
537 5690 8502
1684 1723 2409
2802 5983 7608
9284 9993 7354
8662 8978 3288
1958 2289 6888
5570 8713 4290
7945 8900 9006
8190 9698 8237
9143 9193 9017
4233 5796 4536
6802 7130 39
6023 9596 3819
599 2558 2802
4508 9416 3160
9810 9861 3033
1601 8204 3772
9031 9669 5810
4604 8800 2003
2099 2183 9549
5211 8958 5093
7467 7474 6784
8897 9649 2821
8542 9855 2033
2091 4697 6527
1127 5817 675
4290 8015 3631
8585 8662 1946
7787 9919 6467
9344 9395 2459
1516 9400 4326
3433 4497 7344
7574 9139 9567
4071 6172 8967
4491 9564 9295
2029 9862 5711
241 7192 2368
4816 7690 2934
5032 8692 5684
5809 7611 8502
4820 8067 7345
9383 9800 6864
9953 9964 2815
426 5544 5161
3452 7862 4175
6466 7923 1838
5622 9232 6703
2126 3297 5054
7424 9503 2616
6913 7525 3993
3226 5998 5888
3420 5905 6513
8085 8808 674
3424 9601 7071
2463 8118 8236
6965 7457 6778
1172 7084 2836
1235 9136 3106
3139 9082 7890
8878 9842 4102
4220 4487 2380
4694 7375 2159
7332 8532 429
1293 2873 2721
4825 8803 6946
8204 9102 476
9336 9389 3314
2685 5176 6170
5512 6530 4143
640 9545 7516
6037 7639 7802
7443 7836 8591
6558 7669 1044
343 3101 3671
7719 9176 5856
2537 9885 7412
2253 3038 7764
2470 4012 794
1175 2019 4563
2490 9308 9258
7801 8052 1106
8654 9031 1492
7828 8086 7278
4496 5938 3633
8999 9635 2704
1872 9523 7053
9862 9944 1118
1586 7060 4239
762 3625 7939
9757 9905 1317
2703 3128 9631
6844 7607 898
4308 5294 4745
5285 9138 7122
3116 3758 2307
4438 9257 5119
5667 6185 7061
3980 5517 1448
4209 9195 9759
3466 8996 539
8680 9538 1880
1804 9752 7644
8111 8161 4457
1908 3036 5449
8585 8692 6464
7848 8768 8991
8889 9487 4413
4337 6908 2578
3622 4580 2723
3483 6686 7066
4938 5399 4921
7471 8716 4021
1943 3868 2802
225 6421 5276
8382 8390 1874
2371 5928 5461
6483 8931 3117
3578 7775 4804
8837 9604 6184
7115 9686 7839
3904 8264 4705
1892 5197 5265
632 929 6550
7187 8169 609
4817 6352 5347
3094 5464 3432
8717 9445 3518
2152 9665 8488
9633 9902 1330
8538 9916 5332
6197 9107 4461
8390 9340 8062
3254 4582 6209
3643 7906 7834
5523 8267 8658
5453 7762 1662
7960 8402 5721
5431 9011 790
1264 9237 4385
2709 3345 9423
2011 2849 8782
1347 9200 276
7456 8447 9811
7764 7928 5255
3446 3599 3878
822 3545 2452
4255 4685 3594
2081 8932 8845
151 3419 5886
8434 9196 9858
5933 7863 5613
4533 5523 693
9996 10000 8385
7884 9880 3500
1498 3509 2957
1342 9401 4638
4389 7742 4334
7175 8511 9940
881 3878 4968
1540 8687 4569
4738 7588 126
8990 9948 8955
653 1157 3090
2424 8804 9490
6232 9185 9826
875 1497 6430
6873 8843 1192
6025 6803 535
8332 9180 1825
4219 4251 3132
9656 9755 8226
3717 7434 8817
6962 7687 1827
248 7185 1679
929 3329 5590
6007 7212 5150
6472 7023 7793
99 4995 2919
2804 7739 5668
9894 9935 5490
3181 7329 9725
8741 9336 8105
9645 9695 9703
6150 9405 5274
8186 8622 3136
6419 9339 748
5400 9610 5572
2256 8002 8918
6628 9860 9302
8237 9213 8030
2824 6046 5948
673 8730 207
6400 7932 3146
8210 8654 8891
9355 9551 6451
741 2717 9311
7527 9182 5931
3761 4138 5841
6273 6873 3822
1373 2815 5600
733 3459 4868
682 1783 7077
2365 8036 221
3968 4021 5433
2361 6717 818
5694 9347 7852
1030 2156 1387
1741 4640 3595
6298 7809 1138
2158 9342 9754
9638 9965 2554
3283 4234 4061
6116 9408 5507
9447 9718 2740
1115 1886 7561
4405 7934 4985
7068 8625 4943
4199 5711 2526
5684 9678 213
4645 5910 2120
2149 7990 7288
2332 9133 6748
719 2240 4484
4955 9694 5123
485 517 7031
9351 9919 7386
9521 9767 5089
3297 8146 8158
2254 9710 5920
8582 9865 4541
5207 9774 5693
9071 9143 566
9098 9654 4166
2139 7015 3847
644 9339 2786
4857 9008 7602
8895 9773 9435
6562 9313 7979
5223 7015 6642
6878 8996 2478
5789 6612 9033
2512 2902 7026
3453 7096 9144
619 3047 9848
4948 9320 7483
4724 7612 981
4523 5200 6607
2323 6253 5943
9321 9414 3339
727 4551 9838
7262 7350 5675
8852 9083 8510
9250 9951 4415
8695 9846 8453
8476 8809 3179
3399 8002 9029
7003 7393 3363
3472 8279 5238
9570 9672 6287
2443 4641 6335
5372 5862 8187
4684 7641 4962
1232 8156 1197
534 5915 3250
7415 9727 7846
7036 9114 3071
8792 8869 8471
104 5554 4953
7530 8102 5607
9102 9128 9942
9504 9787 5956
4395 4752 7236
1299 5683 9395
151 3257 7548
2834 9693 7765
1551 4640 1314
8124 8382 5839
3153 6826 5317
6732 9496 5180
8399 8744 1978
5830 8217 6710
4543 9255 5008
5798 7107 9803
2153 5950 6974
3002 7768 9302
7633 9317 6345
1180 1740 3413
279 5294 819
2893 7822 3252
7819 8995 9363
9639 9989 1599
157 8311 7618
7350 8654 615
4818 6465 8062
1649 8023 6894
8498 8902 6150
9095 9918 900
4883 8028 8728
5155 5626 8690
3281 4370 1580
3834 9081 6386
133 8390 8014
4422 5150 7634
8616 9668 2862
8673 9116 6767
612 2633 9825
903 9905 7213
2804 2878 6613
4310 8266 6479
1469 4131 5259
9895 9986 9523
6079 6732 2109
1090 5921 8855
5407 8790 1512
7169 9985 5107
7395 7574 4718
2748 8984 3067
6704 9508 9648
3418 9284 7555
2302 7874 1960
1506 9223 9479
871 1494 2060
8368 9813 5583
8166 9703 5791
8531 9630 280
7094 8658 899
4527 7916 2604
7743 8632 2741
5975 6623 2290
1240 8625 901
9353 9683 6014
4337 5851 2125
3784 7559 1783
6339 9658 7061
1063 1403 279
4619 4741 8198
3351 6297 1927
4732 9023 7755
9249 9718 4066
8127 8636 1856
3769 4821 242
7 5989 5594
6265 9786 7142
7696 8900 4767
831 1182 7259
1942 5353 3921
7355 9755 716
2991 8080 1633
4687 8757 7391
1730 7861 5737
1552 4201 1938
306 9002 6053
4007 6992 650
1409 3005 1558
3886 6675 4965
5272 6568 8220
1909 9635 5789
7478 9189 6529
2577 7399 5267
2811 7829 5293
3 1562 549
8928 9763 4314
7038 9350 6540
4803 6034 2597
6342 7122 3620
2844 8265 4670
8798 9302 3861
5145 7492 2612
4484 8398 1304
2323 3973 6106
8700 9651 659
6550 8743 2852
741 4492 1349
3275 8730 4809
7718 8753 8522
2905 8594 5333
6584 8812 863
2922 9525 4215
3100 6187 20
5881 7389 3801
5819 6874 5653
4132 5726 2275
4466 9986 8823
4319 8478 4093
6613 7088 487
52 7626 9744
5070 8226 9975
4037 9223 6388
2206 8297 4233
2061 5767 6736
5554 8450 9505
1200 7629 5138
2929 7078 4996
2906 9887 7859
3945 6033 3703
3443 4467 6143
1966 5202 9488
5826 6627 4322
4709 8307 3705
5153 7448 7701
2111 4045 3009
5787 6677 1973
6384 9204 359
2005 2720 7140
5125 7842 8614
9633 9967 5545
362 1564 9423
8346 9614 3868
2988 4469 4559
3470 8864 6655
2713 6856 6391
8265 9770 1578
1195 6117 4521
3143 9171 3236
9615 9960 4549
3230 8175 1187
171 5692 2488
6033 6198 1036
1534 4679 5920
952 5303 2216
1402 3471 6373
3309 6498 2973
455 5414 7108
3607 7507 2288
6917 9755 8576
3143 7778 7187
9824 9844 2985
3177 9986 4826
6695 8907 4804
1597 6129 4766
1525 3007 1078
8192 8501 7570
5082 9508 3961
8483 9703 4216
519 7897 7933
2953 8438 9497
3811 6887 8079
1966 3430 5599
8971 9282 988
8955 9128 1040
7994 8940 8831
9915 9920 3325
9591 9909 8921
2654 5446 4737
1878 6141 4643
1180 8863 7471
5589 7689 5687
2310 2366 7815
1847 6225 5885
3589 9076 2526
1289 4207 3083
5962 9406 6599
9063 9289 7425
6493 7553 5906
8502 9569 7715
9088 9435 295
6546 6887 7556
2330 6988 6135
5855 8369 3233
2410 9987 8253
6601 7088 4671
1104 2901 8460
6658 9353 3379
3761 4864 9349
3803 7599 649
6967 8154 3228
5835 6904 3713
6657 8142 9532
2581 9747 4275
3218 6573 9073
3920 8856 1257
5867 8423 6180
9151 9721 7147
8795 9753 9929
1319 5134 7252
7744 9645 5484
9591 9612 7289
5111 7325 9181
9821 9896 3250
9618 9805 7406
3367 8491 6839
7885 9399 9071
7331 9491 8742
4450 6840 1877
302 2608 5032
4188 8014 2159
3586 5247 5258
9405 9897 2169
9876 9938 5845
6984 8061 5058
5873 7462 5599
566 724 3107
9131 9341 1757
611 2537 4187
6458 7755 1800
5409 7893 3557
4403 4471 3908
4684 6733 7883
3130 9304 3035
7923 8958 9711
1564 3743 2510
2564 6130 7415
9727 9964 2973
8883 9557 6852
1815 6220 1535
7099 9653 2696
5873 6279 2817
2525 4736 181
2467 3248 9929
561 2591 1733
8886 9588 6375
6762 8124 1489
1189 2085 6117
810 1975 9383
8612 9265 9026
5876 7238 9870
5455 6558 3995
782 7741 7809
2187 6806 5737
3907 8478 8385
249 9594 7987
3628 3893 1581
488 8303 5831
7508 9931 8585
4646 4905 2683
3171 8200 4018
6488 9924 633
5578 5938 8256
345 9382 4739
690 5033 2540
7543 8776 5134
9222 9411 3799
9288 9844 7903
5350 7767 9529
9450 9836 854
8065 8212 823
6644 7986 7213
810 5238 6691
8939 9011 6942
675 2054 6103
1401 3330 665
6048 7986 2031
4187 9176 7385
2961 7523 4825
7952 8447 9842
1604 3766 6575
1982 9367 2430
4520 6699 7615
8689 8900 4108
1489 7540 348
1587 5415 2393
2586 6185 200
1931 7131 2708
5454 8767 1410
512 1203 3182
9349 9416 4764
8752 9932 4999
6017 8660 1626
5370 8722 2251
4714 9088 4460
9606 9743 2769
7142 7800 5433
1470 2692 2072
887 2381 5241
9597 9935 3324
3507 6963 5127
7425 7801 7203
9614 9871 3036
8096 8366 2175
9686 9959 77
7392 8494 9632
8615 9696 1526
5682 9513 5041
5225 8100 1884
5911 8606 2631
4086 5546 3561
6678 9780 6742
291 6346 6950
5799 9912 2435
3640 6603 7737
9710 9717 9144
3711 9120 1333
3818 7851 2507
4361 4986 5344
6696 7540 2819
6431 8564 3034
1409 2109 5365
6787 9040 3669
9143 9629 1441
1486 8898 673
7554 8504 147
2956 3556 7855
6069 8831 2163
9612 9772 734
6282 7313 1909
4654 7059 8097
5988 9167 6968
5030 6071 7183
2882 4195 9387
8108 9672 1448
7882 9652 7764
3150 3785 8589
9161 9179 6853
5344 8362 6472
8749 9360 5445
7718 9860 7922
3973 9234 9470
9443 9635 6960
6826 9259 2286
3902 6984 502
3580 8549 6697
8717 9970 8653
4373 4999 5489
631 8636 1763
9898 9975 297
2670 9000 9225
998 1187 3603
9006 9491 582
9017 9472 5893
7513 7540 49
4819 5148 1321
941 4531 4746
4414 9431 9138
7609 8850 8648
7118 7897 6973
4272 7494 9610
1327 3897 8174
458 1075 7725
9751 9965 2628
9143 9241 3765
611 6024 5582
2398 5862 6719
8137 9150 5558
2300 5023 9279
2359 9508 2598
3337 9162 6594
3481 9509 786
3644 9144 6478
4341 5341 6832
1340 8187 6085
9337 9616 5840
953 4711 2397
9986 9991 3225
3553 6050 9504
2128 4986 3244
5284 8933 7086
1710 7491 0
2450 3071 4473
4772 8425 2667
9449 9883 5181
6535 9765 1098
8917 9043 2103
8664 8708 4989
3145 6902 4054
4614 5704 2257
5017 9913 8522
7309 7444 5478
1064 7740 6805
7873 8191 3572
5361 9334 2674
3908 7159 1876
3058 3391 8178
7731 9938 5979
5980 6191 6487
9010 9281 1587
9540 9672 4015
7784 8783 4807
5294 7603 1498
659 2274 8259
991 7110 7126
6963 8422 4201
6769 8384 713
9775 9929 7082
3196 8740 3570
5653 9260 8491
5851 8654 8397
5781 8682 2510
8930 9705 573
4284 9830 5913
1127 3927 1760
3568 4920 5777
3791 3840 49
3254 4594 3340
272 3640 4921
5590 6082 7566
7212 7446 2892
532 8252 6613
7336 9690 4567
5550 7606 8482
2834 7423 6901
5023 9998 3247
7689 7820 523
242 8488 2621
4587 9736 498
4128 9667 4515
8737 9792 8912
5531 8671 1399
8154 8325 5544
9324 9672 1197
6493 8536 3663
3227 5884 8601
3679 5772 1283
4220 6905 5380
2147 3737 1378
5800 6637 619
3255 7465 7854
4357 8861 9941
1197 8513 6244
7293 8594 2696
3250 6777 7072
278 8219 3217
3240 7831 3440
9807 9977 7274
2208 2647 9555
8404 9659 323
3435 8779 2831
1451 3583 6772
1334 9261 8085
8572 8751 2723
6624 8028 2498
390 4254 7451
7014 7525 1512
6474 9055 336
410 9724 9496
2620 7171 1133
1933 5784 1571
296 7918 1754
8552 9773 5224
3144 5442 2561
1945 6671 415
1265 6232 8310
6566 9714 3104
1192 2751 8799
9939 9957 2511
6431 7417 7955
8097 9927 2185
291 5408 7560
114 8209 5487
7233 7984 9573
9239 9652 1055
8826 9880 3890
9775 9847 2468
6566 7714 4004
7213 8990 6253
7852 8989 3179
4323 6640 9885
1468 1538 9692
539 2116 727
265 6530 5581
8581 8622 2273
2700 4403 6611
1148 3654 2808
5527 9215 4551
5021 5495 2414
9167 9764 2854
1904 3165 7540
2365 6003 9537
9268 9587 9929
2421 6748 6044
6864 9471 3030
7595 9337 86
7893 8194 2992
7238 9153 6320
4352 5376 2584
9952 9972 7176
6040 9760 2509
8605 9003 5021
10 1504 5212
8732 9949 2516
7344 8613 4934
8198 9962 6398
9926 9979 9264
4 4153 4528
7794 9726 7171
4319 6268 1608
680 1893 6240
6269 8244 146
8343 9195 6139
8360 9844 9187
9537 9889 4784
975 2334 860
4504 6752 5286
2179 3781 572
2025 6349 7446
8988 9945 73
5015 9204 1501
6473 8682 4377
8320 9739 8683
4900 6596 5771
5526 8847 2483
6916 8821 498
4614 9949 2061
8146 8835 8194
6042 6904 5165
